-2.45023	0
-2.35959	0
-2.26895	0.50325
-2.17831	2.10877
-2.08769	4.07183
-1.99716	6.45023
-1.90722	9.19285
-1.81644	11.91192
-1.72527	14.24327
-1.63448	16.44805
-1.54386	17.63767
-1.45320	18.31656
-1.36256	18.2776
-1.27192	17.15
-1.18128	15.55097
-1.09064	13.94318
-1.02060	12.7099
-0.99176	12.17383
-0.94232	11.61111
-0.85992	11.00123
-0.79400	11.34383
-0.72808	12.96599
-0.69100	14.26917
-0.64980	17.29498
-0.59212	21.59025
-0.55916	24.88372
-0.50972	29.83397
-0.48500	32.32053
-0.40672	35.06764
-0.37788	35.43476
-0.29548	33.5551
-0.22956	32.50051
-0.19661	32.05189
-0.09773	30.91323
