0.110757858	0.918658065
0.272435897	3.63636E-05
0.428255101	0.918658065
0.618589744	2.3364
0.885416667	3.5739
1.105769231	5.9364
1.355769231	9.9364
1.586538462	14.1364
1.778846154	17.85862222
1.955128205	21.8864
2.067307692	25.0364
2.243589744	30.05306667
2.371794872	34.1364
2.451923077	37.96973333
2.548076923	41.80306667
2.628205128	45.3864
2.692307692	49.3864
2.756410256	54.8864
2.836538462	60.6364
2.916666667	65.6364
2.980769231	70.8864
3.028846154	76.1364
3.076923077	81.3864
3.108974359	85.3864
3.141025641	90.1364
3.178418803	95.30306667
3.317307692	99.56497143
3.413461538	103.1364
3.43482906	108.1364
3.477564103	113.1364
3.493589744	118.6364
3.525641026	124.3864
3.584401709	129.8030667
3.621794872	136.3864
3.653846154	142.6364
3.685897436	148.6364
3.75	154.6364
3.830128205	159.1364
3.91025641	162.6364
3.974358974	166.8864
4.006410256	172.6364
4.038461538	177.6364
4.070512821	183.6364
4.134615385	187.6364
4.198717949	191.8864
4.230769231	196.6364
4.262820513	201.6364
4.294871795	206.1364
4.326923077	211.1364
4.342948718	216.1364
4.391025641	220.6364
4.423076923	224.6364
4.455128205	228.8864
4.487179487	232.8864
4.519230769	237.6364
4.53525641	241.1364
4.567307692	245.6364
4.588675214	248.9697333
4.615384615	254.8864
4.631410256	259.1364
4.647435897	263.6364
4.679487179	268.3864
4.743589744	272.8864
4.775641026	277.1364
4.807692308	283.1364
4.83974359	288.1364
4.919871795	292.0364
5	296.3864
5.032051282	301.3864
5.048076923	305.1364
5.069444444	309.6364
5.095464571	314.9361312
5.127214296	319.8890882
5.182692308	323.4364
5.192307692	326.3864
5.285962917	321.870271
5.317712641	316.917314
5.349462366	312.9549484
5.444711538	319.8890882
5.508210987	324.8420452
5.625	323.0252889
5.78525641	317.1364
5.801282051	312.6364
5.801282051	308.8864
5.833333333	303.3864
5.865384615	297.8864
5.913461538	294.6364
5.945512821	289.8864
5.993589744	286.3864
6.057692308	280.6364
6.08974359	274.6364
6.185897436	267.6364
6.21474359	263.4364
6.330128205	258.8864
6.362179487	256.1364
6.372863248	251.1364
6.394230769	248.1364
6.41025641	243.0530667
6.426282051	238.1364
6.442307692	233.6364
6.490384615	229.3030667
6.570512821	224.3864
6.602564103	220.3864
6.682692308	215.6364
6.762820513	212.6364
6.810897436	209.1364
6.853632479	203.4697333
